FID,STATEFP10,COUNTYFP10,TRACTCE10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID,Full_GEOID,Town
0,9,1,30300,303,Census Tract 303,G5020,S,8268946,5919424,41.0563491,-73.473651,9001030300,1400000US09001030300,Darien
1,9,1,35300,353,Census Tract 353,G5020,S,13442741,46233,41.1215292,-73.4784315,9001035300,1400000US09001035300,New Canaan
2,9,1,11000,110,Census Tract 110,G5020,S,4449326,3865378,41.0122609,-73.5766968,9001011000,1400000US09001011000,Greenwich
3,9,1,30100,301,Census Tract 301,G5020,S,11024824,27898,41.1006634,-73.4881986,9001030100,1400000US09001030100,Darien
4,9,1,30200,302,Census Tract 302,G5020,S,4579450,45867,41.0854982,-73.4644649,9001030200,1400000US09001030200,Darien
5,9,1,30400,304,Census Tract 304,G5020,S,3552882,0,41.0670034,-73.4899354,9001030400,1400000US09001030400,Darien
6,9,1,30500,305,Census Tract 305,G5020,S,5351221,5422,41.0808098,-73.5000669,9001030500,1400000US09001030500,Darien
7,9,1,105100,1051,Census Tract 1051,G5020,S,31837542,1272596,41.2338658,-73.3085559,9001105100,1400000US09001105100,Easton
8,9,1,105200,1052,Census Tract 1052,G5020,S,39176156,1945200,41.2806799,-73.2995681,9001105200,1400000US09001105200,Easton
9,9,1,60100,601,Census Tract 601,G5020,S,3985964,0,41.214078,-73.2415497,9001060100,1400000US09001060100,Fairfield
10,9,1,60200,602,Census Tract 602,G5020,S,4052924,116565,41.2154643,-73.2558653,9001060200,1400000US09001060200,Fairfield
11,9,1,60300,603,Census Tract 603,G5020,S,11682426,945826,41.2019057,-73.2742566,9001060300,1400000US09001060300,Fairfield
12,9,1,60400,604,Census Tract 604,G5020,S,22385490,0,41.1853604,-73.3058106,9001060400,1400000US09001060400,Fairfield
13,9,1,60500,605,Census Tract 605,G5020,S,5465011,17867,41.1485353,-73.2878432,9001060500,1400000US09001060500,Fairfield
14,9,1,60600,606,Census Tract 606,G5020,S,3085245,379633,41.1370378,-73.2877829,9001060600,1400000US09001060600,Fairfield
15,9,1,45300,453,Census Tract 453,G5020,S,7004135,33258,41.1668727,-73.4382336,9001045300,1400000US09001045300,Wilton
16,9,1,45400,454,Census Tract 454,G5020,S,7740216,36965,41.1810574,-73.4044543,9001045400,1400000US09001045400,Wilton
17,9,1,230502,2305.02,Census Tract 2305.02,G5020,S,26873927,123784,41.3852384,-73.2517101,9001230502,1400000US09001230502,Newtown
18,9,1,230501,2305.01,Census Tract 2305.01,G5020,S,20061038,1281724,41.4114348,-73.2120607,9001230501,1400000US09001230501,Newtown
19,9,1,210702,2107.02,Census Tract 2107.02,G5020,S,1573700,0,41.3887855,-73.4720465,9001210702,1400000US09001210702,Danbury
20,9,1,210701,2107.01,Census Tract 2107.01,G5020,S,1246650,0,41.3968678,-73.4662497,9001210701,1400000US09001210701,Danbury
21,9,1,257200,2572,Census Tract 2572,G5020,S,1553445,39629,41.1951357,-73.1939188,9001257200,1400000US09001257200,Bridgeport
22,9,1,60700,607,Census Tract 607,G5020,S,5305465,74087,41.1578667,-73.2638592,9001060700,1400000US09001060700,Fairfield
23,9,1,60800,608,Census Tract 608,G5020,S,1423731,0,41.1591524,-73.2475549,9001060800,1400000US09001060800,Fairfield
24,9,1,60900,609,Census Tract 609,G5020,S,1496123,0,41.1707987,-73.2510189,9001060900,1400000US09001060900,Fairfield
25,9,1,61000,610,Census Tract 610,G5020,S,3329735,0,41.1832753,-73.2468661,9001061000,1400000US09001061000,Fairfield
26,9,1,61100,611,Census Tract 611,G5020,S,2707029,0,41.1927942,-73.2267686,9001061100,1400000US09001061100,Fairfield
27,9,1,61200,612,Census Tract 612,G5020,S,791389,0,41.1806702,-73.2283368,9001061200,1400000US09001061200,Fairfield
28,9,1,61300,613,Census Tract 613,G5020,S,1250144,0,41.174637,-73.2353255,9001061300,1400000US09001061300,Fairfield
29,9,1,61400,614,Census Tract 614,G5020,S,1615559,0,41.1655436,-73.2345189,9001061400,1400000US09001061400,Fairfield
30,9,1,61500,615,Census Tract 615,G5020,S,3644081,540615,41.1438395,-73.2413456,9001061500,1400000US09001061500,Fairfield
31,9,1,61600,616,Census Tract 616,G5020,S,5227331,1752456,41.128686,-73.265363,9001061600,1400000US09001061600,Fairfield
32,9,1,10101,101.01,Census Tract 101.01,G5020,S,32747439,234754,41.0840876,-73.6820227,9001010101,1400000US09001010101,Greenwich
33,9,1,10102,101.02,Census Tract 101.02,G5020,S,32581821,1450823,41.1049792,-73.641906,9001010102,1400000US09001010102,Greenwich
34,9,1,10201,102.01,Census Tract 102.01,G5020,S,11253122,146909,41.0642033,-73.620237,9001010201,1400000US09001010201,Greenwich
35,9,1,10202,102.02,Census Tract 102.02,G5020,S,9741256,148851,41.0691294,-73.5922956,9001010202,1400000US09001010202,Greenwich
36,9,1,10300,103,Census Tract 103,G5020,S,9607989,37010,41.0370267,-73.6406041,9001010300,1400000US09001010300,Greenwich
37,9,1,10400,104,Census Tract 104,G5020,S,2698094,46107,41.024513,-73.6585267,9001010400,1400000US09001010400,Greenwich
38,9,1,10500,105,Census Tract 105,G5020,S,1816656,1262,41.0163931,-73.6422719,9001010500,1400000US09001010500,Greenwich
39,9,1,10600,106,Census Tract 106,G5020,S,883182,0,41.028509,-73.6263677,9001010600,1400000US09001010600,Greenwich
40,9,1,10700,107,Census Tract 107,G5020,S,1855238,87319,41.0310969,-73.6143505,9001010700,1400000US09001010700,Greenwich
41,9,1,10800,108,Census Tract 108,G5020,S,1945195,204895,41.0390777,-73.599768,9001010800,1400000US09001010800,Greenwich
42,9,1,10900,109,Census Tract 109,G5020,S,2574768,120189,41.0495834,-73.5772267,9001010900,1400000US09001010900,Greenwich
43,9,1,11100,111,Census Tract 111,G5020,S,4379450,1976298,41.0248222,-73.5884455,9001011100,1400000US09001011100,Greenwich
44,9,1,11200,112,Census Tract 112,G5020,S,4882939,5052669,41.0142155,-73.6195108,9001011200,1400000US09001011200,Greenwich
45,9,1,11300,113,Census Tract 113,G5020,S,1924085,6852661,40.9829746,-73.6261261,9001011300,1400000US09001011300,Greenwich
46,9,1,100100,1001,Census Tract 1001,G5020,S,20669494,26341,41.3189897,-73.2612547,9001100100,1400000US09001100100,Monroe
47,9,1,100200,1002,Census Tract 1002,G5020,S,16372052,66768,41.322114,-73.2183997,9001100200,1400000US09001100200,Monroe
48,9,1,100300,1003,Census Tract 1003,G5020,S,30486199,426082,41.3521958,-73.2023287,9001100300,1400000US09001100300,Monroe
49,9,1,110500,1105,Census Tract 1105,G5020,S,13472642,74148,41.3114946,-73.1658444,9001110500,1400000US09001110500,Shelton
50,9,1,35100,351,Census Tract 351,G5020,S,6569589,14138,41.143528,-73.493585,9001035100,1400000US09001035100,New Canaan
51,9,1,35200,352,Census Tract 352,G5020,S,17400726,508352,41.1683926,-73.5185751,9001035200,1400000US09001035200,New Canaan
52,9,1,35400,354,Census Tract 354,G5020,S,20071019,282911,41.17205,-73.4830178,9001035400,1400000US09001035400,New Canaan
53,9,1,220100,2201,Census Tract 2201,G5020,S,10991122,341156,41.459013,-73.5241055,9001220100,1400000US09001220100,New Fairfield
54,9,1,220200,2202,Census Tract 2202,G5020,S,30753239,506361,41.5046149,-73.4943316,9001220200,1400000US09001220200,New Fairfield
55,9,1,230100,2301,Census Tract 2301,G5020,S,39831739,1658180,41.4351402,-73.3117002,9001230100,1400000US09001230100,Newtown
56,9,1,230300,2303,Census Tract 2303,G5020,S,20728354,527820,41.3946473,-73.3395215,9001230300,1400000US09001230300,Newtown
57,9,1,230400,2304,Census Tract 2304,G5020,S,35865396,58145,41.3591857,-73.3039294,9001230400,1400000US09001230400,Newtown
58,9,1,230200,2302,Census Tract 2302,G5020,S,5974692,0,41.4119079,-73.3119625,9001230200,1400000US09001230200,Newtown
59,9,1,42500,425,Census Tract 425,G5020,S,6205218,38740,41.1567648,-73.399925,9001042500,1400000US09001042500,Norwalk
60,9,1,42600,426,Census Tract 426,G5020,S,2940189,0,41.1370433,-73.3901099,9001042600,1400000US09001042600,Norwalk
61,9,1,42700,427,Census Tract 427,G5020,S,4225266,62828,41.1472674,-73.4208933,9001042700,1400000US09001042700,Norwalk
62,9,1,42800,428,Census Tract 428,G5020,S,2440424,20942,41.1297488,-73.40945,9001042800,1400000US09001042800,Norwalk
63,9,1,42900,429,Census Tract 429,G5020,S,3822144,6270,41.1478897,-73.4440317,9001042900,1400000US09001042900,Norwalk
64,9,1,43000,430,Census Tract 430,G5020,S,3005907,36860,41.1327203,-73.4401343,9001043000,1400000US09001043000,Norwalk
65,9,1,43100,431,Census Tract 431,G5020,S,6637908,58520,41.1123414,-73.4586879,9001043100,1400000US09001043100,Norwalk
66,9,1,43200,432,Census Tract 432,G5020,S,2764477,11056,41.1166007,-73.4415913,9001043200,1400000US09001043200,Norwalk
